time,node,rt_lmp
2025-01-01 00:00:00,HB_HOUSTON,19.0
2025-01-01 01:00:00,HB_HOUSTON,19.25
2025-01-01 02:00:00,HB_HOUSTON,19.5
2025-01-01 03:00:00,HB_HOUSTON,19.75
2025-01-01 04:00:00,HB_HOUSTON,20.0
2025-01-01 05:00:00,HB_HOUSTON,20.25
2025-01-01 06:00:00,HB_HOUSTON,20.5
2025-01-01 07:00:00,HB_HOUSTON,20.75
2025-01-01 08:00:00,HB_HOUSTON,21.0
2025-01-01 09:00:00,HB_HOUSTON,21.25
2025-01-01 10:00:00,HB_HOUSTON,21.5
2025-01-01 11:00:00,HB_HOUSTON,21.75
2025-01-01 12:00:00,HB_HOUSTON,22.0
2025-01-01 13:00:00,HB_HOUSTON,22.25
2025-01-01 14:00:00,HB_HOUSTON,22.5
2025-01-01 15:00:00,HB_HOUSTON,22.75
2025-01-01 16:00:00,HB_HOUSTON,23.0
2025-01-01 17:00:00,HB_HOUSTON,23.25
2025-01-01 18:00:00,HB_HOUSTON,23.5
2025-01-01 19:00:00,HB_HOUSTON,23.75
2025-01-01 20:00:00,HB_HOUSTON,24.0
2025-01-01 21:00:00,HB_HOUSTON,24.25
2025-01-01 22:00:00,HB_HOUSTON,24.5
2025-01-01 23:00:00,HB_HOUSTON,24.75
